Date,Open,High,Low,Close,Volume
2025-01-01,202.7702,204.7173,201.2546,203.4205,22441572
2025-01-02,206.5088,208.8167,204.7136,207.5026,29094897
2025-01-03,206.2802,206.8476,204.6256,205.8806,25301009
2025-01-06,209.074,210.947,207.3463,209.3159,37878791
2025-01-07,209.5304,210.3948,209.2504,209.8207,7369489
2025-01-08,208.5865,209.5839,208.4301,209.2139,8360476
2025-01-09,212.0094,214.7798,210.4811,212.7277,6166481
2025-01-10,211.0019,212.0826,210.0019,211.2028,12026822
2025-01-13,211.9672,212.3977,209.9122,211.5756,36033499
2025-01-14,208.764,209.0458,206.308,207.3926,44214951
2025-01-15,205.5422,206.1809,203.91,204.1653,25990058
2025-01-16,203.6838,206.2134,201.7858,204.6959,16831147
2025-01-17,205.9721,206.7889,204.1554,206.1554,45683334
2025-01-20,204.2869,205.4541,203.7129,204.6219,29982094
2025-01-21,202.2913,205.2952,201.7683,203.5692,10307134
2025-01-22,205.1081,207.2393,203.5752,205.6819,27409175
2025-01-23,209.3621,209.5292,206.6146,207.5069,45836010
2025-01-24,204.4362,205.1797,203.6935,204.4328,33942918
2025-01-27,205.3831,207.1789,205.1394,205.9443,31416308
2025-01-28,205.2704,205.7088,203.5711,205.4681,25022475
2025-01-29,205.893,206.9664,202.7384,204.7255,15385412
2025-01-30,206.4144,206.73,205.9354,206.3068,16289972
2025-01-31,203.0474,204.5494,201.9853,203.3659,22858874
2025-02-03,205.8544,206.2087,204.1934,205.8237,23554963
2025-02-04,206.7299,210.0842,204.9054,208.0765,46213544
2025-02-05,206.2141,206.9286,202.6319,204.6459,46367428
2025-02-06,202.589,203.3475,202.3577,202.3912,46382476
2025-02-07,202.9425,203.1525,202.6285,202.764,26242121
2025-02-10,200.9388,201.5849,200.1251,200.9746,18290821
2025-02-11,200.3206,200.5142,200.0169,200.2804,22152910
2025-02-12,201.3622,202.5805,199.8618,200.2997,19860027
2025-02-13,203.0835,203.8613,202.0436,203.5636,18509459
2025-02-14,199.228,201.1699,199.0941,199.5981,46378192
