Date,Open,High,Low,Close,Volume
2025-01-01,342.3141,343.7841,339.2292,343.4142,10560449
2025-01-02,342.2843,342.462,341.0653,341.5265,45645523
2025-01-03,338.9311,340.4097,337.8075,338.1037,48104221
2025-01-06,336.4649,339.2637,336.3172,338.9179,52770884
2025-01-07,334.2604,337.306,329.7959,331.6979,25805438
2025-01-08,331.3421,333.9686,329.7418,332.2354,63114639
2025-01-09,334.4248,336.4258,333.093,335.3685,59625445
2025-01-10,336.0682,339.0978,334.0635,336.4184,63935961
2025-01-13,336.6686,336.7758,333.149,335.6806,20177904
2025-01-14,337.7229,339.982,336.5918,339.094,45191978
2025-01-15,336.2216,339.451,335.0915,337.5164,20687727
2025-01-16,339.9502,342.9967,334.9889,338.3642,35227331
2025-01-17,340.0191,342.8245,336.6469,340.6484,59283758
2025-01-20,340.1151,341.5747,336.7413,340.9692,37829884
2025-01-21,339.2369,340.7849,337.6349,337.7058,61612525
2025-01-22,336.5904,338.5552,336.2248,337.1381,12201603
2025-01-23,338.1979,341.2331,333.417,336.0914,33330832
2025-01-24,332.3854,335.6605,330.5532,331.4233,39709659
2025-01-27,325.7451,325.8226,323.1959,325.2649,18996363
2025-01-28,330.2758,333.5125,329.0468,331.2631,23768129
2025-01-29,334.855,337.3934,332.9026,334.1967,28546302
2025-01-30,329.5598,332.9794,328.2769,330.4149,16487255
2025-01-31,328.9716,329.5203,326.3184,328.2528,37003260
2025-02-03,322.5558,325.4129,319.746,324.2794,57671599
2025-02-04,327.2739,328.6779,323.8976,326.4252,18641950
2025-02-05,328.0807,328.5314,325.2799,326.9149,44605049
2025-02-06,328.9186,330.3639,325.8602,330.0574,24323511
2025-02-07,325.3312,328.6341,325.0698,325.5793,21226812
2025-02-10,326.8195,327.309,325.9428,327.2528,23497317
2025-02-11,319.9816,321.7798,317.0077,320.0589,62292374
2025-02-12,324.9629,329.0747,323.6683,327.4626,9894120
2025-02-13,324.0545,325.6298,321.9521,323.2315,23042438
2025-02-14,328.7679,328.7875,325.1344,327.7359,48345668
2025-02-17,328.7879,329.8528,328.6155,329.4498,65824156
2025-02-18,329.7925,330.833,328.7445,329.4581,38135023
2025-02-19,327.0565,327.8656,323.8604,327.2743,12190424
2025-02-20,330.2744,333.3276,327.086,329.9112,33260066
2025-02-21,330.3346,331.2114,325.0186,327.7052,29624758
2025-02-24,322.7053,324.3341,321.2029,323.3688,59378223
2025-02-25,328.4995,330.4359,327.0566,329.5595,46354132
2025-02-26,328.4913,330.3799,323.8609,326.878,30627653
2025-02-27,331.9154,334.1067,328.9435,331.375,40032520
2025-02-28,333.3421,334.6678,332.1095,333.5809,22821462
2025-03-03,333.178,337.8015,331.1743,334.7578,27375016
2025-03-04,338.8521,341.3252,335.0942,335.8585,67574252
2025-03-05,330.7768,332.153,329.0892,330.4938,48739009
2025-03-06,325.6997,326.5773,323.6158,324.1536,57433925
2025-03-07,331.8098,334.6822,328.4918,330.0344,26954699
2025-03-10,329.741,333.2755,327.0787,331.4282,42944026
2025-03-11,335.4367,339.7483,332.7817,338.3732,15445597
2025-03-12,330.7427,333.1903,330.2339,331.4756,17030203
2025-03-13,325.9779,326.1974,323.0115,326.075,12928469
2025-03-14,324.1167,326.4223,324.0196,325.3749,24544453
2025-03-17,329.9129,330.8742,327.8447,328.4554,15564477
2025-03-18,326.2741,327.956,322.8024,325.2373,60752726
2025-03-19,320.4005,322.5229,318.9988,320.3912,45613543
2025-03-20,315.945,321.3357,315.0389,318.5692,39920036
2025-03-21,321.5428,323.0222,316.2733,319.0237,45030685
2025-03-24,321.5126,322.679,319.962,321.2166,11169918
2025-03-25,317.66,319.5432,316.386,317.4172,13554632
2025-03-26,319.2272,321.1375,316.4297,319.7982,17433658
2025-03-27,323.0623,325.8872,322.958,325.6062,17825354
2025-03-28,320.796,322.0942,319.8793,320.0597,15676348
2025-03-31,319.2104,322.2156,316.1585,321.0632,63009171
2025-04-01,315.9324,318.7454,315.4806,317.6608,53317116
2025-04-02,310.0084,312.6773,307.4829,310.2361,11889303
2025-04-03,309.9551,311.1164,308.2276,310.3887,8053989
2025-04-04,315.0442,318.2689,312.3565,315.5564,25667252
2025-04-07,321.4783,322.6697,319.7132,320.1302,35975418
2025-04-08,325.1095,327.3535,324.2778,324.2885,31524500
2025-04-09,323.2439,325.4171,322.6502,324.19,29853294
2025-04-10,322.8588,326.8717,322.2172,324.4527,50607790
2025-04-11,325.4467,328.5772,323.8817,327.1789,51854557
2025-04-14,333.1517,333.2407,328.0259,330.4339,59296170
2025-04-15,337.4598,338.11,335.2778,335.8958,17152492
2025-04-16,344.1367,347.209,342.7352,342.9876,11810510
2025-04-17,348.9936,349.3174,347.7061,348.6124,61178452
2025-04-18,348.8967,353.7686,347.7461,350.3521,61636586
2025-04-21,355.7456,357.2568,352.342,356.1584,8359082
2025-04-22,347.3358,350.0011,344.385,347.2929,62869338
2025-04-23,356.0592,356.872,352.839,356.2297,33999088
2025-04-24,346.5613,351.8344,346.112,349.0155,64852889
2025-04-25,341.9083,344.5663,340.1835,341.5159,28506847
2025-04-28,334.2375,338.1408,332.3377,336.8148,50822822
2025-04-29,338.909,340.5096,337.0538,339.4525,52413393
2025-04-30,334.3919,335.7577,331.1778,334.8039,36653865
2025-05-01,330.6134,333.3248,327.4018,330.6821,19418845
2025-05-02,334.4977,335.8705,332.5633,335.6599,20738573
2025-05-05,333.7303,336.5846,330.5968,334.2079,13006712
2025-05-06,340.1568,340.3021,335.7322,337.5378,28901649
2025-05-07,340.6608,343.5745,338.2846,340.0711,55910737
2025-05-08,335.2222,337.883,333.9338,336.294,52419899
2025-05-09,331.7792,335.0176,331.4344,332.8273,10919585
2025-05-12,328.0057,330.5709,325.7957,327.9646,28264374
2025-05-13,325.464,326.8015,324.3526,324.9506,43509974
2025-05-14,331.6276,334.4626,328.8627,328.8705,46946394
2025-05-15,330.4112,335.5868,328.4266,332.45,38470531
2025-05-16,336.1792,339.9039,336.0802,338.0405,27881596
2025-05-19,341.0686,342.6623,339.2319,341.6912,45760425
2025-05-20,348.5088,350.3117,348.3705,349.6171,11515669
2025-05-21,349.143,350.6142,348.1117,348.7297,15027715
2025-05-22,356.2559,357.6229,354.3987,354.8806,53609229
2025-05-23,359.8107,361.7022,357.9908,358.8223,50086394
2025-05-26,363.1008,365.2965,359.3795,362.4391,60708804
2025-05-27,369.9297,371.9446,368.1508,370.6922,23789238
2025-05-28,363.8582,365.7349,358.6647,361.4617,32764169
2025-05-29,368.0499,371.1331,365.5255,370.5135,57952644
2025-05-30,374.9627,377.281,372.5103,375.3717,59805413
2025-06-02,381.1724,381.7661,377.9578,379.286,53412570
2025-06-03,381.0136,383.858,376.2588,379.5958,34595864
2025-06-04,379.0022,382.5095,375.2868,379.861,37756789
2025-06-05,376.4653,380.0764,375.2594,378.7406,23993039
2025-06-06,385.2333,387.8831,382.4231,385.7151,63175374
2025-06-09,385.7983,386.5107,382.8646,385.3826,21578333
2025-06-10,392.6082,395.898,389.6507,391.0121,51555470
2025-06-11,397.0896,401.9165,394.4127,399.7404,31219202
2025-06-12,391.5429,397.3989,391.5035,393.5548,40619461
2025-06-13,393.1727,396.7087,392.4514,393.5658,23360220
2025-06-16,390.5435,392.3786,389.1412,390.8312,33203795
2025-06-17,383.7281,386.8213,382.9989,385.4023,66084964
2025-06-18,379.1776,380.8782,375.7948,378.5597,38022984
2025-06-19,380.8947,382.034,377.7453,379.6721,33261372
2025-06-20,387.1959,387.4402,383.4538,385.7905,16126419
2025-06-23,378.5819,381.7061,375.2736,378.3148,29211626
2025-06-24,380.7374,383.8488,378.7028,382.4692,66093972
2025-06-25,374.8443,376.082,371.046,373.6625,45454336
2025-06-26,370.082,372.536,368.2971,371.8039,30200884
2025-06-27,370.2264,372.564,367.562,371.562,27692008
2025-06-30,363.8026,364.4248,360.6319,364.066,64661504
2025-07-01,361.8378,362.474,359.0364,362.0058,18805375
2025-07-02,365.4923,367.72,362.0197,364.2321,60148687
2025-07-03,362.8589,365.3899,357.5215,360.4338,13563108
2025-07-04,362.759,365.2773,358.7142,362.1083,19290115
2025-07-07,360.6444,364.1317,357.937,359.0295,18367144
2025-07-08,354.6079,357.5032,353.4274,354.4791,47465468
2025-07-09,357.6618,360.9592,355.4052,356.0882,38020960
2025-07-10,348.806,351.7434,348.2434,349.417,10651686
2025-07-11,342.8294,344.0296,341.2461,343.4295,19545522
2025-07-14,339.0136,341.2412,335.0932,337.3007,35813268
2025-07-15,343.218,345.0042,342.7792,343.4567,32749247
2025-07-16,348.9839,350.0689,346.2951,347.7972,48333406
2025-07-17,342.9057,343.9322,339.3179,341.6137,37597537
2025-07-18,344.4239,347.6742,342.3697,343.0467,43529704
2025-07-21,338.1994,339.3524,336.075,339.0322,55029325
2025-07-22,332.3871,334.609,331.3139,332.0821,50795829
2025-07-23,336.633,339.0502,332.5117,335.4209,61054697
2025-07-24,332.7435,335.9556,329.7122,331.7603,20759811
2025-07-25,326.6957,328.3715,321.498,324.6705,12764989
2025-07-28,321.3353,323.0851,320.2196,320.5268,38258631
2025-07-29,322.5092,324.5582,320.0954,323.133,39391456
2025-07-30,326.9511,331.4461,325.7324,328.194,16349803
2025-07-31,324.2162,326.8879,322.3547,326.0581,14191976
2025-08-01,319.9864,322.6547,317.6093,319.0368,18105330
2025-08-04,314.4048,316.6226,312.9802,315.9685,17639578
2025-08-05,319.9626,322.541,317.3998,318.5847,18803590
2025-08-06,316.5468,320.4641,315.2949,317.3783,55141113
2025-08-07,315.9463,316.8484,314.4462,316.1183,53223838
2025-08-08,315.6066,318.4238,313.3555,317.0137,29496445
2025-08-11,321.0468,324.0039,318.9021,322.5391,23933922
2025-08-12,315.3293,317.3169,313.2175,315.7648,51844179
2025-08-13,320.8861,322.9537,318.0005,320.5108,44712710
2025-08-14,321.0067,324.2547,318.7789,321.1279,29813869
2025-08-15,323.7812,327.3733,321.6792,325.9452,67946896
2025-08-18,319.4327,322.2382,316.9869,321.3456,44471020
2025-08-19,323.3566,323.8359,319.0649,321.5358,23372526
2025-08-20,317.8241,321.1262,315.8478,319.1438,60695654
2025-08-21,317.325,318.3551,315.1399,317.6496,12424526
2025-08-22,310.9423,312.8906,309.8588,310.7633,20865833
2025-08-25,308.3075,309.6488,306.3892,309.0344,63468281
2025-08-26,305.3423,305.9346,302.259,304.8944,26766305
2025-08-27,308.5843,310.5732,308.1943,309.3633,18242750
2025-08-28,303.6219,304.7294,301.3272,303.1978,65334354
2025-08-29,299.3641,301.6329,296.5414,298.2252,51495092
2025-09-01,301.4508,302.4729,300.5851,300.9049,50636521
2025-09-02,297.2294,298.4012,296.005,297.4994,37716251
2025-09-03,296.9164,298.5839,295.4872,297.7452,55069430
